Annotation,Value,Metric,Kernel,GPU,Host,ComputeClock,MemoryClock,Unit,n
vecadd_cuda_float4,19424.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
vecadd_cuda_float4,19072.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
vecadd_cuda_float4,19520.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
vecadd_cuda_float4,19520.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
vecadd_cuda_float4,37920.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
vecadd_cuda_float4,38176.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
vecadd_cuda_float4,38016.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
vecadd_cuda_float4,38176.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
vecadd_cuda_float4,37568.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
vecadd_cuda_float4,55872.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
vecadd_cuda_float4,56608.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
vecadd_cuda_float4,56544.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
vecadd_cuda_float4,55808.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
